ClassDesc,SalesUnits_Fall,SalesUnits_Spring,SalesDiff,SalesDiffPer
111 BODYSUITS,1460,1846,386,11.675741076830006
ANKLES,2847,2308,539,10.455868089233753
BARE,2935,5303,2368,28.744840980820584
BARELY BOOT,1232,1640,408,14.206128133704734
BELTS,2211,2081,130,3.0288909599254428
BLAZERS,340,324,16,2.4096385542168677
BODYSUITS,477,713,236,19.831932773109244
BOTTOMS,2086,2342,256,5.781391147244806
BRACELETS,1805,2563,758,17.353479853479854
BRAS,165,171,6,1.7857142857142856
CAMIS,4219,8208,3989,32.099460851372015
CASUAL SEPARATES,576,1101,525,31.305903398926656
CHINO,971,1192,221,10.217290799815073
CLASSIC,631,827,196,13.443072702331962
COLOR,697,975,278,16.626794258373206
CORE SUITING,275,350,75,12.0
COTTON,245,127,118,31.72043010752688
COTTON BLEND JACKETS,248,370,122,19.741100323624593
COTTON BLEND PANTS,365,540,175,19.337016574585636
COTTON/COTTON BLEND,71,133,62,30.392156862745097
COVER-UPS,1967,2091,124,3.0556924593395762
CROPS,1245,2544,1299,34.28345209817894
DAY/OCCASION,2446,3811,1365,21.8155665654467
DRESSY SEPARATES,648,826,178,12.075983717774763
EARRINGS,3476,4489,1013,12.718141870684244
EXTRA SLIM,487,464,23,2.4185068349106205
FASHION JEWELRY,77,70,7,4.761904761904762
FLATS,732,1080,348,19.205298013245034
FLEECE,1067,518,549,34.63722397476341
FOOTWEAR,573,782,209,15.424354243542435
HATS,271,526,255,31.994981179422837
HEELS,761,1224,463,23.324937027707808
LARGE,498,369,129,14.878892733564014
LEATHER/FAUX LEATHER,827,653,174,11.756756756756758
LEGGING,9089,8343,746,4.279486002753557
LONG,292,252,40,7.352941176470589
LS BLOUSES,3863,2995,868,12.656751239428404
LS PATTERN CASUAL SHIRTS,1790,2311,521,12.704218483296756
LS PATTERN DRESS SHIRTS,2974,4010,1036,14.833906071019474
LS SHIRTS,7333,9151,1818,11.028876486289734
LS SOLID CASUAL SHIRTS,881,1140,259,12.815437902028698
LS SOLID DRESS SHIRTS,4133,5610,1477,15.15960176537001
LS TEES,8000,3698,4302,36.775517182424345
M WATCHES,129,166,37,12.54237288135593
MEDIUM,912,751,161,9.68129885748647
MENS FRAGRANCE,855,756,99,6.145251396648044
NECKLACES,4324,4118,206,2.4401800521203505
NYLON,1022,452,570,38.670284938941656
PARTY/GOING OUT,3794,4231,437,5.445482866043614
POLOS,1925,4005,2080,35.07588532883643
RELAXED,175,185,10,2.7777777777777777
RINGS,398,558,160,16.736401673640167
SCARVES,713,715,2,0.1400560224089636
SKINNY,1423,1642,219,7.145187601957585
SLIM,2355,2632,277,5.554441548024864
SMALL,1132,1011,121,5.646290247316846
SOCKS,7750,7448,302,1.9871035662587182
SS BLOUSES,3388,6032,2644,28.067940552016985
STRAIGHT,245,440,195,28.467153284671532
SUNGLASSES,1185,1612,427,15.266356810868789
SWEATSHIRTS,58,121,63,35.19553072625698
TIES,1946,2106,160,3.948667324777887
TIGHTS,1464,881,583,24.861407249466954
TOPS,2226,3304,1078,19.49367088607595
TREND,951,965,14,0.7306889352818371
VESTS,175,228,53,13.151364764267989
WEAR TO WORK,1255,1526,271,9.744696152463144
WIDE LEG,296,310,14,2.31023102310231
WOMENS FRAGRANCE,689,679,10,0.7309941520467835
WOOL,785,479,306,24.20886075949367
WOOL BLEND JACKETS,354,430,76,9.693877551020408
WOOL BLEND PANTS,651,725,74,5.377906976744186
